,Artist,Album,Release Date,Lyrics
Federal Dust,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","They don't talk in Malibu
They don't vote
They don't even smoke, I know you're blue
I know you're blue
I know you're blue
They don't cream
And they don't dream in Kansas City
They don't cry
They don't, they never act, I know you're ready
I know you're ready
I know you're ready
They don't cry
And they don't die in South Dakota, just like a seagull
They don't mash
They don't hatch in South Dakota
In South Dakota
Here comes the coda
Not much water coming over the hill
Not much, not much, not much
Not much water coming over the hill
Not much, not much, not much
Not much water coming over the hill
Not much, not much, not much
Not much water coming over the hill
Not much, not much, not much"
Honk If You’re Lonely,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","Cruising the strip on a Saturday night
I smile and I wave and I hide all my pain
But the sign on my bumper gives me away
Honk if you're lonely tonight
If you need a friend to get through the night
A toot on your horn, a flash of your brights
Honk if you're lonely tonight
I know a honky tonk where we can go
A booth in the back with the lights way down low
The jukebox is playing a sad melody
For heartbroken lovers just like you and me
We'll laugh and we'll flirt and we'll dance every dance
And before the night's over, we'll make romance
The morning will find us with a smile on our face
And we'll be together in a lovers' embrace
Honk if you're lonely tonight
If you need a friend to get through the night
A toot on your horn, a flash of your brights
Honk if you're lonely tonight
I know it seems sad to be so damn blue
But there's always a chance that you'll meet someone new
I know that somewhere waiting for me
Is a sad, lonely lover with a bumper that reads
Honk if you're lonely tonight
If you need a friend to get through the night
A toot on your horn, a flash of your brights
Honk if you're lonely tonight I am so)"
We Could Be Looking for the Same Thing,Silver Jews,"Lookout Mountain, Lookout Sea","{'year': 2008, 'month': 6, 'day': 17}","Way, way out past where the sidewalks disappear
And up through bright blue blocks of sky
Where the days turn to weeks in the months of the year
And we're together, you and I

We could be looking for the same thing
If you're looking for someone
We could belong to each other
If you're not seeing anyone

I hope I don't come across as a coyote in your eyes
But I been around some and I've seen
Enough to know we could both spend happy lives
Inside the days of you and me

We could be looking for the same thing
If you're looking for someone
We could belong to each other
If you're not seeing anyone"
Horseleg Swastikas,Silver Jews,Bright Flight,"{'year': 2001, 'month': 11, 'day': 20}","In a duplex near the reservoir
And every single thought is like a punch in the face
I'm like a rabbit freezing on a star
On the wrong side of Sunday morning
Shattered in the terrible light
Working for a bankrupt circus
On the wrong side of Saturday night
And I wanna be like water if I can
'Cause water doesn't give a damn
Water doesn't give a damn
Chased by a floating hatchet
You can't just shoot your way out and go
I could tell you things about this wallpaper
That you'd never ever want to know
But there's an altar in the valley
For the things in themselves as they are
And the triumph of the obstacle
And horseleg swastikas
I wanna take a ride on the back of a sunbird
Up into the highest number
Up into the highest number
And I wanna be like water if I can
'Cause water doesn't give a damn
Water doesn't give a damn"
Ballad of Reverend War Character,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","In a cracked cup on the sill
In Embry's last photograph
He disappears over a hill
Darrell Dotson waits in the grass for a fight
The stars don't shine upon us
We're in the way of their light
No, the stars don't shine upon us
We're in the way of their light
The new girl in Tahoe
Has swallowed Sinatra's cum
A Russian primadonna
Dances slow on Valium
After the game
The benchwarmer can't get a ride
In space, there is no center
We're always off to the side
In space, there is no center
We're always off to the side
John Parker the III steps over a bird
On a Wall Street window ledge
Little Wilkie, dead cat rotting
Deep inside the hedge
Mahalia Roach dies on a
Greyhound coach in July
In a horror movie when the car won't start
You give it one last try
In a horror movie when the car won't start
You give it one last try
Guinnevere orders one more beer
In the smokey pickup bar
A burnt out tramp by the exit ramp
Waits for one more car, one more car
The Latin teacher always smelled like piss
The census figures come out wrong
There's an extra in our midst
The census figures come out wrong
There's an extra in our midst"
Death of an Heir of Sorrows,Silver Jews,Bright Flight,"{'year': 2001, 'month': 11, 'day': 20}","I wish it wasn't Saturday night
'Cause I can't raise hell
No, I can't raise hell for two
I wish I had a thousand bucks
I wish I was the Royal Trux
But mostly I wish
I wish I was with you
When I was summoned to the phone
I knew in my bones that you had died alone
We'd never been promised there will be a tomorrow
So let's just call it the death of an heir of sorrows
The death of an heir of sorrows
I have not avoided certainty
It has always just eluded me
I wish I knew
I wish I knew for true
I wish I had a rhinestone suit
I wish I had a new pair of boots
But mostly I wish
I wish I was with you
We'd never been promised there will be a tomorrow
So let's just call it the death of an heir of sorrows
The death of an heir of sorrows"
Advice to the Graduate,Silver Jews,Starlite Walker,"{'year': 1994, 'month': 10, 'day': 24}","Leave your name and number and we'll get back to you
Sleep on your back and ash in your shoes
And always use the old sense of the words
Your third drink will lead you astray
Wandering down the backstreets of the world
On the last day of your life, don't forget to die
The things that you do will always make your mama cry
Well, I know you got a lot of hope for the new men
Well, I know you got a lot of hope for the new men
So you've got no friends and you wander through the night
And now you watch the sunrise through a riflesight
Well, don't believe in people who say it's all been done
They have time to talk because their race is run
So get in some licks and hold your head up
And soon you'll be drinking from that crystal cup
Well, I know you got a lot of hope for the new men
Well, I know you got a lot of hope for
Too much hope for
So much hope for
So much hope for
So much hope for
Good morning to the new world
Good morning to the new world
Good morning to the new world
I want hope for
I want hope for
I want hope for
I want hope for
To the new
To the new
To the new
To the new"
Sleeping Is the Only Love,Silver Jews,Tanglewood Numbers,"{'year': 2005, 'month': 10, 'day': 18}","I heard the shrew was you
You might as well say fuck me cause I'm gonna keep on
Keep on loving you
I'd crawl over fifty yards of broken
Glass just to hold on your hand
Sleeping is the only love
I had this friend his name was Marc with a c""
His sister was like the heat coming off the back of an old TV
Their folks were slain in their Red Boiling Springs home
It was the worst of the Lord, some of the worst of the Lord
Later I come to find
Life is sweeter than Jewish wine
Give a box of candy or a foot massage
Some people don't take the time
I'd crawl over fifty yards of burning
Coals just to make it with you
Sleeping is the only love
Sleeping is the only love"
I Remember Me,Silver Jews,Bright Flight,"{'year': 2001, 'month': 11, 'day': 20}","Oh, man, she was a sight to see
And at the party down the hall
He said, you are the highest apple in the tree""
Out the window, in the harbor, he saw a little ship
The moon was worn just slightly on the right
And they slow danced so the needle wouldn't skip
Until the room was filled with light
And I remember you
And I remember me
The sunshine walking inside you
And the man you could see in me
So I remember me
And I remember you
So many beautiful days in a row now
And the nights were perfect, too
Hand in hand down a waterslide in Chattanooga
They did not hide from love, you see
A winter's plane flight to Aruba
Where he threw a boombox into the sea
One day, they were cutting flowers for something to do
On the bank of the road 'neath the cotton woods
And he turned to her to ask if she'd marry him
When a runaway truck hit him where he stood
So I remember you
And I remember you
And I remember you
And I remember me
And I remember me
A blackhawk nailed to the sky
And the tape hiss from the trees
Everybody said she needed to move on
That he was all but lost, so deep was his coma
When he finally came to, the girl he loved was long gone
She'd married a banker and gone to Oklahoma
He bought a little land with the money from the settlement
And even bought the truck that had hit him that day
He touched the part where the metal was bent
And if you were there, you wouldn't hear him say
I remember her
And I remember him
I remember them
I remember then
I'm just remembering
I'm just remembering
Just remembering
I'm just remembering"
Inside the Golden Days of Missing You,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","With the people of Cleveland
Who've suffered for so many years
The shattered glass cussed
And when it broke, it spoke to us
It said, Hey""
It said, I know you... what's your name?
What's your name?""
Well, I wish they didn't set mirrors behind the bar
'Cause I can't stand to look at my face
When I don't know where you are
And then the feeling fades away
But you sort of wish it would've stayed
Inside the golden days of missing you
What if life is just some hard equation
On a chalkboard in a science class for ghosts?
Then you can live again
But you'll have to die twice in the end
In the end
In the end
Oh, yeah
We'll meet again
We'll meet again"
