,Artist,Album,Release Date,Lyrics
Engine,Neutral Milk Hotel,Beauty,"{'year': 1998, 'month': 10, 'day': 13}","For I am an engine
And I'm rolling on
Through endless revisions to state what I mean
For sweetness alone who flew out through the window
And landed back home in a garden of green

You're riding alone in the back of a steamer
And steaming yourself in the warm shower spray
And water rolls on off the round captain's belly
Who's talking to tigers from his cafeteria tray

And sweet babies cry for the cool taste of milking
That milky delight that invited us all
And if there's a taste in this life more inviting
Then wake up your windows and watch as those sweet babies crawl
Away
Mmmm, mmmm"
Three Peaches,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}","There is no dream
So wake up run your lips across your fingers till you find
Some scent of yourself that you can hold up high
To remind yourself that you didn't die
On a day that was so crappy whole and happy you're alive

And you seem so bruised and it's beautiful
As it's reflecting off from you as it shines
You're in the bathroom carving holiday designs into yourself
Hoping no one will find you but they found you
And they took you and you somehow survived

There is no dream
So wake up and if the holidays don't hollow out your eyes
Then press yourself against whatever
You find to be beautiful and trembling with life
Because I'm so happy I'm so happy I'm so happy
I'm so happy that you didn't die"
You’ve Passed,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}","The lady is dying
She bends back like a wave
As her spirit is climbing
Through the hospital wall and away
And I wanted to hold you
As you made your escape
But now I should have told you
When your eyes were alive and awake
Always in life we all must make this mistake

And so I go it alone
And the pressure is great
I hold on to my own
Oh please, oh don't go away

I wanted to know you
Before you started to fade
But I gave everything to
A lie and a farce and a fake
Always in life we all must make this mistake

And so I go it alone
And the pressure is great
I hold on to my own
Oh please, oh don't go away
I'd like to see you when all of these angry days flow away"
Little Birds,Neutral Milk Hotel,Little Birds,"{'year': 2011, 'month': 12, 'day': 12}","Little birds born without a mother or a father
I can feel their feathers forming in the running water
Now there is another in the middle of my mouth
A hundred altogether inside of me now
Little birds, little birds, come into my body

Mother, they're within me every moment I'm awaking
Bodies multiplying until they finally overtake me
Put your ears up to my mouth and you can hear them singing
Put you hands within me and you'll know what I am feeling
I just want to swallow up and promise to protect them

Daddy, come towards me, I can see his hands are shaking
Put his hands against me, he could feel their bodies breaking
Push me to the floor and put his hands up for a beating
I don't want to hear it anymore,"" he kept repeating
Do you really want the burning hell to come and get you?

Did you see the burning hell it took your baby brother?
Did you see how far he fell and how he made us suffer?
Another boy in town at night he took him for his lover
And deep in sin they held each other
So I took a hammer, nearly beat his little brains in
Knowing God in heaven no could never could forgive him
So I took a hammer nearly beat his little brains in

Little boy born without a mother or a father
Taken to the river and then pushed into the water
And the priests are singing that the hell was getting hotter
Father, Son, and Holy Ghost, the only one to save him
From the thing he loves the most but we know will betray him
Father, Son, and Holy Ghost, the only one to save him
From the thing he loves the most but we know will betray him
And here beneath the water I can see
How the light distorts so strange
And this is how I would like to leave my body
And start again"
Ferris Wheel on Fire,Neutral Milk Hotel,Ferris Wheel on Fire,"{'year': 2011, 'month': 12, 'day': 12}","Well now first of all
We became what we always had feared
Every engine holds
All their oils on fire appeared
They finally broke through
And on your shoulder
This weight has been placed upon you

And everything we ever were

But, now I'm keeping still
In someone's bright carnival ride
And all the crowd just cheers
As the bolts break and metal collides
Spiraling through
And flying up over the hills
And now everything's broken in two

And everything we ever were

But now most of all
I am holding you under my skin
Watch these buildings fall
Watch as each weak resistance caves in
All over you all implode
And now finally fading from view

Is everything we ever were
Now, ah
Ah, ah
Ah, ah
Ah, I"
Someone Is Waiting,Neutral Milk Hotel,Beauty,"{'year': 1996, 'month': 3, 'day': 26}","Someone is waiting
To swallow all the halos out of you
As your face blows through my windows
Sending pieces flying all around my room
And I love you and I want to
Shoot all the super heroes from your skies
Watch them bleeding from your ceiling
As their empty anger falls out from their eyes all alone
"
Everything Is,Neutral Milk Hotel,Unreleased Demo #2,"{'year': 1995, 'month': 1, 'day': 1}","Jeff: Who were you?""
Child: A member of 'Kiss' or a punk rocker.""
J: Every year?""
C: ""'Just kind of funny, yeah, I would dress up as a... punk rocker, when I was, um... little.""
J: So what'd you do when you became a punk rocker?""
C: I wore a trash bag.""
-

Growing sleepy as the rain falls
As children draped in flowers form a chain
They sing a song with jelly jars and bird calls
As night falls into dust and it's day again

I'm not afraid of a love parade in my daydream
Old men with kazoos and beating drums
But I awake and I see the streets are ice cream
It's just you and me and oh dear, our life has just begun

Everything is beautiful here
It's spinning circles around my ears
I'm finally breaking free from fear
And it's fading

Oh beautiful smiles, won't you stay awhile
We could close the door and sleep all day
It's a September sky with pretty pictures in my mind
That's lost its feeling of so afraid

Everything is beautiful here
It's spinning circles around my ears
I'm finally breaking free from fear
And it's fading

Grown sleepy now as the rain falls
As children draped in flowers form a chain
They sing a song with jelly jars and bird calls
As night falls into dust and it's day again

Everything is beautiful here
It's spinning circles around my ears
I'm finally breaking free from fear
And it's fading"
Avery Island / April 1st,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}",
A Baby for Pree / Glow into You,Neutral Milk Hotel,Ferris Wheel on Fire,"{'year': 2011, 'month': 12, 'day': 12}","Blistering Pree, all smiling and swollen
Makes babies to breathe
With their hearts hanging open
All over the sheets
As soft as beets in some brown dresser drawer
And with bees in her breath
And the rest of her ringing
They'll sting through her chest
With a force hard and beating
Till wonderfully wet
She will get until she's soaked inside her clothes
And there is no sorry to be sorry for
For a roll around the floor
Some afternoon so sound and soft
It made her swallow all her sweat
With every bit of breath she coughs
And when the day it came to pour
All her babies all across the bathroom floor
She will be swimming in them all forever more

Glow right into you
I will glow right into you
I will glow right into you

And I let you down
Swollen and small
Is where you'll find me now
That silver stripping off
From my tongue you're tearing out
You'll never hear me talk

Glow right into you
I will glow right into you
I will glow right into you

And I will be strong
Strong enough to shout
Above your voice that's blaring on
With your face that's falling out
Into the dust of what you want
I'll never hear you talk

Glow right into you
I will glow right into you
I will glow right into you
Oh and with my little fingers
I could make it all crumble
I could make it all over
Before you would even know
Glow"
Home,Neutral Milk Hotel,Ferris Wheel on Fire,"{'year': 2011, 'month': 12, 'day': 12}","Hold
Well you can hold your hands together all you please
Wont erase those tender tidings you endured
You were just another family member on their knees
Just a social work statistic out the door

They beat against the tender sightings of your soul
With all those pretty little hammers of control
And where they are tonight well you will never know
But I swear that I will find them, now

More
Its more than just a simple question of decay
More than all those fists that beat into your door
Its more than all the shrinks that told you youre okay
Its more than anything that I have waited for

They beat against the tender sightings of your soul
With all those pretty little hammers of control
And if they even can remember I dont know
But I swear that theyll remember, now


Home
Its just another word youll always push away
Just a memory you wear outside your clothes
And it will burn down into cinders and some day
They will burrow down to their parental holes

They beat against the tender sightings of your soul
With all those pretty little hammers of control
And if theyve ever paid a price well I dont know
But I swear that they will pay one, now"
Pree-Sisters Swallowing a Donkey’s Eye,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}","Oh...
I warned you...
"
Snow Song Pt. 1,Neutral Milk Hotel,On Avery Island,"{'year': 1994, 'month': 1, 'day': 1}","One, two, three, fuck) four

Cindy smiles and overcoats
She says, Please stay a while!""
Like ice cream floats and dreams, and I will fill your heart
With boats and bells and beams and candyappled everythings
Bells and beams and candyappled everythings

Cindy skips my trampoline
With toys and horns and bouncing things
And even the most silent must sing a song of love
Yes even the silent, they must sing a song of love

Ooooh...
Ooooh...

Unhappy girl, she's spinning
These strings in her curls
And it's only the beginning
Of a trip around the world
Cindy, won't you smile?
Cindy, won't you sleep a while?
I feel I'm just a child
Sinking down one hundred million miles

Ooooh...
Ooooh...

Rain...
Rain is a perfectly sculpted garden of wetness"
Marching Theme,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}",
Bucket,Neutral Milk Hotel,Beauty,"{'year': 1992, 'month': 1, 'day': 1}","They creep and crawl in burning white
They dream of waterfalls
Catching slow bright streams of light
And life can be so weird
Bucket full of fear
But it's alright, I'm on an isle
And I've still got time to fly away
Shadows in my dreams
They're painting scenes of time with you
I'm hoping all these things
And the strength they bring will see me through
And life can be so weird
Bucket full of fear
But it's alright, I'm on an isle
And I've still got time to fly away"
Bucket (Organ Version),Neutral Milk Hotel,Unreleased Demo #1,"{'year': 1992, 'month': 1, 'day': 1}","They creep and crawl on through the night
They dream of waterfalls
Catching small bright streams of light
Life can be so weird
A bucket full of tears
But it's alright
I've seen the light
And I've still got time to fly away
Shadows in my dreams
They're painting scenes of time with you
I'm hoping all these things
And strength it brings will see me through
And life can be so weird
A bucket full of tears
But it's alright
I've seen the light
And I've still got time to fly away"
My Dream Girl Don t Exist [1991],Neutral Milk Hotel,Invent Yourself a Shortcake,"{'year': 1991, 'month': 1, 'day': 1}","My dream
My dream girl dont exist
At the age of five she slit her wrists
She didn't know that I'd be hanging around
So her parents buried her in the ground
My dream girl dont exist
Shes working at a McDonalds in Madison, Wisconsin
She couldve been cool but she let the system get to her
She forgot about art and just made hamburgers
My dream girl dont exist
They're all sittin' around, watching TV
They're all stuffing―
Shit"
