,Artist,Album,Release Date,Lyrics
Patience,The Lumineers,Cleopatra,"{'year': 2016, 'month': 4, 'day': 8}",
Long Way from Home,The Lumineers,Cleopatra,"{'year': 2016, 'month': 4, 'day': 8}","Held on to hope like a noose, like a rope
God and medicine take no mercy on him
Poisoned his blood, and burned out his throat
Enough is enough, he's a long way from home

Days of my youth wasted on a selfish fool
Who ran for the hills from the hand you were dealt
I flew far away, as far as I could go
Your time is running out
And I'm a long way from home

Laid up in bed, you were laid up in bed
Holding the pain like you're holding your breath
I prayed you could sleep, sleep like a stone
You're right next to me
But you're a long way from home

Hospital gowns never fit like they should
We yelled at the nurse, didn't do any good
More morphine”, the last words you moaned
At last I was sure
That you weren't far away from home"
Where the Skies Are Blue,The Lumineers,Cleopatra (Deluxe) ,"{'year': 2016, 'month': 4, 'day': 8}","You're gonna leave, it ain't gonna break my heart, mama
I've never seen nobody quite like you

And if you ever change your tune
Oh, the world's got the best of you
You can always find me where the skies are blue

Wanted to change, turn into what you love, mama
And I woulda gave all of my best to you

So, if you ever need a fool
Who will give you a love so true
You can always find me where the skies are blue

Lay your dreams, little darlin', in a flower bed
Let that sunshine in your hair, in your hair

You're gonna bleed somebody's brand new love, mama
Who's gonna feel just like it always do

And when your fairytale is through
And you're looking for someone new
You can always find me where the skies are blue
You can always find me where the skies are blue"
Holdin’ Out,The Lumineers,Storks (Original Motion Picture Soundtrack),"{'year': 2016, 'month': 9, 'day': 16}","Singing for the neighbours
Holdin' on for work
Holdin' on to paper
I was on the left
You were only fading
I was on my own
Starin' at the ceiling
Hold, holdin' out
Read it on a map
Never how I planned it
Holdin' on for work
Taking it for granted
I was looking up
I was being blinded
Holdin' on for work
Hopin' that I'd find it
I was looking up
Holding on to patience
Counting up the days
Days that I'd been waiting
You can take your time
I'll be on the front porch
Keepin' on the light
You can see it if you look for it
I would lie awake at night
Hopin' that one day I'd run
I had waited all my life
I was holdin'
Holding you
Holding
Waited for you
Waited for"
Charlie Boy,The Lumineers,The Lumineers (Deluxe Edition) ,"{'year': 2012, 'month': 4, 'day': 3}","Charlie boy, don't go to war
First born in '
And Kennedy made him believe
We could do much more

Woahohoh, woahoh, woahoh
Woahohoh, woahoh, woahoh

And Lillian, don't hang your head
Love should make you feel good
In uniform, you raised a man
Who volunteered to stand

Woahohoh, woahoh, woahoh
Woahohoh, woahoh, woahoh

Play the bugle, play the taps and)
Make your mothers proud
Raise your rifles to the sky, boys
Fire that volley loud

The news was bad on Upland Ave
Metuchen, mourn our loss
And sons rebelled, while fathers yelled
And mothers clutched the cross

Woahohoh, woahoh, woahoh
Woahohoh, woahoh, woahoh

Play the bugle, play the taps and)
Make your fathers proud
Raise your rifles to the sky, boys
Fire that volley loud"
Nobody Knows,The Lumineers,Discovered & Covered,"{'year': 2016, 'month': 8, 'day': 11}","It seems so easy 'til you try
Then the moments passed you by
Nobody knows how to say goodbye
Nobody knows how to get back home
And we set out so long ago
Searched the heavens and the Earth below
Nobody knows how to get back home
Through the darkness to the dawn
And when I looked back you were gone
Heard your voice leading me on
Through the darkness to the dawn
Love is deep as the road is long
It moves my feet to carry on
Beats my heart when you are gone
Love is deep as the road is long
Nobody knows how the story ends
Live the day, do what you can
This is only where it begins
Nobody knows how the story ends
Nobody knows how the story ends"
Scotland,The Lumineers,The Lumineers EP,"{'year': 2009, 'month': 12, 'day': 19}","They all need something to hold on to
They all mean well
Pay your respects to society giving me hell

You could never feel my story
It's all you know
You could never feel my story
It's all you know

May your dreams come to reality
If all else fails
Give up, we needed the company
Let's drink to your health

You could never feel my story
It's all you know
You could never feel my story
It's all you know

Oohooh, oohooh, I will not fold
Oohooh, oohooh, she's in control
Of everything
Of everything and everyone

Oohooh, ooh
Oohooh, ooh
Oohooh, ooh, ooh, ooh

Ooh
I will not fold
She's in control
I will not fold
No, never
I will not fold
She's in control
I will not fold
No, never"
In the Light,The Lumineers,Cleopatra,"{'year': 2016, 'month': 4, 'day': 8}","I don't know why I just can't let it go
I don't know why I just can't let it go
Mmmmmm
Memory's old but I just can't let it go
The idea's gone but I just can't let it go

Time
Give me my yesterdays
Save it for all you had in your eyes
I have gone away

Fate dealt you a tricky hand
Now you're just left alone in your mind
And I have gone away

Mmmmmm
I don't know why I just can't let it go
Memory's old but I just can't let it go

In the light
Right here in the light
Right here in the–
Hold me and don't you ever let this die
Right here in the light
And in the day time
Right here in the–
Hold me and don't you ever let this die

In the light
And in the daytime
Right here in the–"
A.M. RADIO,The Lumineers,BRIGHTSIDE,"{'year': 2021, 'month': 11, 'day': 17}","Standin' on the corner, I could listen to the radio
When the savior sang from the fire escape on the second floor
You were always sayin' we would make it to the catacombs
In the end, it came when you wrote my name on the bathroom stall

If the photograph doesn't bring you back
If the final chapter isn't ever after
Oohoohoohoohooh

I remember wakin' up the neighbor like a stadium
Yeah, he ran upstairs screamin' no one cared
And thе band played on
Even in the limo you wеre feelin' like an animal
At the traffic light, where you blew your mind on a mobile phone

Day and night, my love
You said the blood was on my hands

Long as you run
I couldn't give you up
Forever run
I couldn't give you up

In the minivan with your headphones in
Did you write your letters to your shitty friends?
And all this time, you said to me, My love would never die”

Long as you run
I couldn't give you up
Forever run
I couldn't give you up And the daylight in my eyes)
Long as you run And the silence on the street)
I couldn't give you up And the low light in my head)
Forever run And I was incomplete)
I couldn't give you up And the daylight in my eyes)
Long as you run And the silence on the street)
I couldn't give you up And the low light in my head)
Gone, no goodbye And I was incomplete)
I couldn't give you up"
Big Parade,The Lumineers,The Lumineers (Deluxe Edition) ,"{'year': 2012, 'month': 4, 'day': 3}","Lovely girl, won't you stay
Won't you stay, stay with me
All my life I was blind
I was blind, now I see
Lovely girl, won't you stay
Won't you stay, stay with me
All my life I was blind
I was blind, now I see

Fleet of black, fleet of black limousines
All tinted machines, here comes the cavalcade
With the armored cars, armored cars like Berettas
Flags on antennaes designed to keep me safe, keep me safe

And oh my my, oh hey hey
Here he comes, the candidate
Blue eyed boy, United States
Vote for him, the candidate

Diamonds cut, diamonds cut for the carats
Plaster of Paris, the floats fill up the street
And the beauty queens, beauty queens with the white gloves
All sick from the night clubs, they wave with pageantry, pageantry

And oh my my, oh hey hey
Here it comes, the big parade
Marching bands and barricades
Make way, for the big parade

Ohoh

Canvas covered, canvas covered in resin
The violent men who dance the blood ballet
And the bookies say, bookies say it's the third round
Oh, when Louie will go down
If he don't, there's hell to pay and hell to raise

And oh my my, oh hey hey
Here he comes, the welterweight
Take a dive, for goodness sake
Or say goodbye to the welterweight

Catholic priest, Catholic priest in a crisis
Torn between romance and Jesus
Who will win the civil war?
And he says, I'm in love, I'm in love with a woman
Yeah, this is my confession
I'm leaving, I can't be a priest anymore, anymore""
And oh my, oh hey hey
There he goes, the man of faith
Left the church for a fiancee
Let him love, the man of faith

Ohoh

TV cameras, TV cameras and stage hands
American Bandstand, electric guitars
And he's singin' songs, singin' songs for the lonely
All the girls with the room keys
They know all his words by heart, by heart and they all sing

Lovely girl, won't you stay
Won't you stay, stay with me
All my life I was blind
I was blind, now I see
Lovely girl, won't you stay
Won't you stay, stay with me
All my life I was blind
I was blind, now I see
Lovely girl, won't you stay
Oh my my, oh hey hey
Here she comes, by saving grace
Burn the car and save the plates
She's arrived, my saving grace"
