,Artist,Album,Release Date,Lyrics
Capacity,Big Theif,Capacity,"{'year': 2017, 'month': 6, 'day': 9}","Flight is a beautiful word
Flowered with consonance
Thats what I'll followed
Forever
I am a beautiful bird
Fluttered and floating
Swollen and hollowed
For heaven

Do what you want with me
Lost in your captivity
Learning capacity
For makebelieving everything
Is really hanging on

Slipping away from the party
Totally vacant
Everyone gone from their bodies
You were outside kissing another
She was a friend of mine
I was surprised to discover

I wrapped my arms around her
She was a beautiful figure
There are no enemies
Were makebelieving everything
Is really hanging on

There is a castle that stands
High in the canyon
The blue knights are crying together
A child is holding my hand
She is directing, the red crystal pine with a feather

Do what you want with me
Lost in your captivity
Learning capacity
For makebelieving everything
Is really hanging on
Really hanging on
Really hanging on"
Vegas,Big Theif,Masterpiece,"{'year': 2016, 'month': 5, 'day': 27}","And I caught you tongue and cheek by the side of the road
Of an automobile expo
Turned up the volume and you started to weep
And I thought you a lamb
Even in the sigh of the headlight sea
Your tears were salty ocean
You opened up the engine and listened to it sing
And I thought you a lamb
You knew your daddy 'til you were thirteen
And then he took his leave for the likes of the land
And the far off salty ocean
We shook our bodies and we started to scream
And I asked you again
Tell me when we grow up, do we ever go home?
You said home becomes the highway
We ordered movies on a motel screen
Until you needed me warm inside of your mouth
And my skin was salty ocean
And then you recommended I'm a woman to keep
And I called you a man"
Forgotten Eyes,Big Theif,Two Hands,"{'year': 2019, 'month': 10, 'day': 2}","Forgotten eyes are the ones which we lose
Forgotten hands are the ones which we choose
To let go of, but it is no less a bruise
On the collective arm keeping us high and gone
Forgotten dance is the one left at birth
Forgotten plants in the fossils of earth
And they've long passed but they are no less the dirt
Of the common soil keeping us dry and warm

The wound has no direction
Everybody needs a home and deserves protection‚ hmmmm

Holloweyed on Eddie Street‚ no sirens to hear
Just trash and soiled needles clawing the veneer
And no crying but it is no less a tear
On the common cheek with which we smile
Holloweyed on Eddie‚ is it they or is it I?
Is it me who is more hollow as I'm quickly passing by?
And the poison is killing them, but then so am I
As I turn away

The wound has no direction
Everybody needs a home and deserves protection, hmmmm

Forgotten tongue is the language of love
Forgotten tongue is the language of love
Forgotten tongue is the language of love
Forgotten tongue"
Sparrow,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2021, 'month': 8, 'day': 10}","Wrapped in the wings of a sparrow
Beak is as sharp as an arrow
Sings in a whispering whistle
Sleeps in the ivy and thistle
Owls out swooping and howling
Deep in the midnight aprowling
Mama, the scream of the eagle
Threading my heart through the needle
Threading the blood through the apple
Sucking the juice from the apple
Eating the seeds of the apple
Bearing the tree of the apple
Trapped in the weeds like a scarecrow
Stuck to the wind like Velcro
Distantly hearing the bell toll
Warbling chime through the meadow

Mama, the scream of the eagle
Threading my heart through the needle
Threading the blood through the apple
Eve sucked the juice from the apple
Nakedly running, I saw her
Boy chasing after to stall her
I wish I'd have spoken to call her
Before she found fabric to shawl her
Breasts bound and burdened with fiber
Adam came trembling beside her
And he said, and he said
That she has the poison inside her
She talks to snakes and they guide her
She has the poison inside her
She talks to snakes and they guide her
She has the poison inside her
She talks to snakes and they guide her
She has the poison inside her
She talks to snakes and they guide her"
Shoulders,Big Theif,Two Hands,"{'year': 2019, 'month': 10, 'day': 11}","Please wake up
Please wake up
Touch my skin and
Tell me where you've been
You brought me in
You brought me in
So touch my skin and
Tell me where you've been
You showed me how
To keep myself from burning out

They found you in the morning
The blood was on your shoulders
They found you at the corner
Your head was doubled over
And the blood of the man
Who killed my mother with his hands
Is in me, it's in me, in my veins

Please wake up
Please wake up
Touch my skin and
Tell me where you've been
You brought me in
My best friend
So touch my skin and
Tell me where you've been
You showed me how
To hold my sin
And kiss the bad ways I have been

They found you in the morning
The blood was on your shoulders
They found you at the corner
Your head was doubled over
And the blood of the man
Who's killing our mother with his hands
Is in me, it's in me, in my veins
It's in me, it's in me, in my veins"
Orange,Big Theif,U.F.O.F.,"{'year': 2019, 'month': 5, 'day': 3}","Orange is the color of my love
Fragile orange wind in the garden
Fragile means that I can hear her flesh
Crying little rivers in her forearm
Fragile is that I mourn her death
As our limbs are twisting in her bedroom

Lies, lies, lies
Lies in her eyes
Lies, lies, lies
Lies in her eyes

She tells me to close and count to ten
As she wanders freely through the forest
Can I close and open once again?
The question that I seek for reassurance

Lies, lies, lies
Lies in her eyes
Lies, lies, lies
Lies in her eyes

Hound dogs crowing at the stars above
Pigeons fall like snowflakes at the border
She kneels down and holds the frozen dove
The moon drips like water from her shoulder

Flies, flies, flies
Flies from her eyes
Flies, flies, flies
Flies from her eyes

Orange is the color of my love
Fragile orange wind in the garden
Fragile means that I can hear her flesh
Crying little rivers in her forearm
Fragile is that I mourn her death
As our limbs are twisting in her bedroom"
Randy,Big Theif,Masterpiece,"{'year': 2016, 'month': 5, 'day': 27}","I'll pour the water if you bring the tree
Nothing looks that real to me
I only see two or three colors
What's it like to breathe in?
Find a friend and gather with him?
I'm a wolf in a city of women
You only know the light is on
Will you plant that sycamore baby?
I'll watch it grow from the second floor
I haven't left the house much lately
And you don't come around here anymore
And all those lovers in their velvet gowns
I wanna take that trip uptown
Will you tell them to let me out
When you can see the light is on?
Found a horse hair in my food
There's a raccoon in my room
There are bluejays all in bloom
All along the cement floor
Randy, they say I've gone insane
So could you take me dancing in the pouring rain?
You don't know me but you know my name
Will you say it 'til the light is gone?"
Two Hands,Big Theif,Two Hands,"{'year': 2019, 'month': 10, 'day': 11}","You somehow let me down
Both hands and a gentleman
You could not take me through
New plans or tell me who
New friends, I can make some too
I know
You somehow took me in
Both arms, my marked up skin
Two hands, places you had been
I needed

And the more that we try
To figure through the answers
To repeat ourselves
To deny, deny

Now you call my bluff
All clear and it gets so rough
Stonefaced in the light
The air and the jagged bite
Cold air, the wisdom of the night
Between us

And the more that we try
To figure through the answers
To repeat ourselves
To deny, deny
To deny, deny, deny

Somehow we exist
In the folds, and now we'll kiss
Both hands, the mystery before us
She's reaching
But I could not take you through
New plans, or tell you who
New friends, you can make some too
I know"
Watering,Big Theif,Capacity,"{'year': 2017, 'month': 6, 'day': 9}","He followed me home again
And his eyes were watering
His eyes were watering like a child
I madebelieve for him
That my blood was dripping
My blood was dripping into his mouth

Screaming
Screaming

He cut off my oxygen
And my eyes were watering
As he tore into my skin like a lion
I knew it was poison
As he filled me to the brim
And my blood was dripping like a lamb

Screaming
Screaming
Screaming

Leave your bedroom light on
I live to watch you undress
And you know that I'm there
As you soak in my stare with your right arm

Come to me
Come to me
Come, come to me"
Time Escaping,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2021, 'month': 11, 'day': 16}","Cool
One, two, one, two, three, four

Electric waves, a rush of energy
Silent river pouring backward eternally
Through the phase and touch of entropy
Old age in the beginner
To hit the stage and blush wild, laughingly
Crush the rage and rush time tappingly
Call the name so much so vapidly
Dissolving into thin air
Turning the twofork tapedup television
Into tunnel vision
Taking the new fork tactile as revision
Working the revision

Time escaping
Time escaping

There is no reason to go down alonе
Through distortion's secret telеphone
Separate contact separate
Poison in the ether
Swinging still incessant pendulum
Lavender, nettle, calendula
Separate, contact, concentrate
Drawing out the fever

Time escaping
Time escaping

Ether
Time
It's music
It's music, Oso

Only the winter wind survives
After the heat rush feeds and thrives
After the bushfire burns and dies
Frozen and bitter
Desert ground so cold and clean
Spreading out like a magazine
Reading the dirt like gossip
What do the weeds say? They say
Everything, everything, everything falls through
Each dimension breaks in two
Like the two hands clapping
Like the two wings flapping
Everything, everything, everything for free
As it all eventually
Turns to dust and petal
Molten rock and meadow""
Time escaping
Time escaping"
