,Artist,Album,Release Date,Lyrics
After The Earthquake,Alvvays,Blue Rev,"{'year': 2022, 'month': 10, 'day': 5}","After the earthquake
Pictures hanging diagonally
Drive through, crying in a milkshake
It wasn't built to last
Up in the front seat
You were playing with the station
And I was fidgeting with the heat
Looking back to the vibrant days of

Racket in the hall, caution to the breeze
Say you'll climb your way out of your wake now
Velvet curtain drawn, flowers at your feet
Say you'll contemplate how you're weighed down

The pulse of the brake light
Is the colour of burning embers
If you wake up, will you remember
The awful things I said at the еdge of the bed?
Thrashing likе a great white I feel the northern tide)
As they rolled you up on a stretcher Crashing on the pines)
And the faint words of Jessica Fletcher I feel the northern tide)
Were drowned out by the sound of Crashing on the pines)
Racket in the hall, caution to the breeze
Say you'll climb your way out of your wake now

Those days, I'd never let you fall apart
But things fade like the scent of a brand new car
Why would I ever fall in love again
When every detail is over the guardrail?

Say you'll climb your way out of your wake now
Say you'll contemplate how you're weighed down
Are you awake now?
Are you awake now?

Racket in the hall
Caution to the breeze
Velvet curtain drawn
Flowers at your feet"
Hey,Alvvays,Antisocialites,"{'year': 2017, 'month': 9, 'day': 8}","Have you lost your sense of place?
Hold a brush to your white toothpaste
Does the mirror look a little strange?
You satisfied with making do
Dont think so, yeah)
Should we pull the parachute?
Don't think so)
I will land on my feet but I probably wont leave the house for awhile and it feels like forever since you held me like I was a human being
And I am a human being
Blind in an alleyway
Assuring you Im fine
Blind in an alleyway
Positive Im fine
Fine
Molly Mayhem
On your doorstep
At three AM
Fight and you run and you run
And its likely over now
Fight and you run and you run
And you want it over now
Over now
Over now
This is the nineteenth round
And you know it
This is not the right crowd
And you know it"
Dives,Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","All the documents you keep
And the friends that never phone
Spend the winter in a Jeep
And your summer months at home

No love to share
So what?
Who cares?

Bleeding light into your room
Makes you cower beneath the sheets
Waste away all your days

No love to share
So what?
Who cares?

I've been waiting on our lives together
I've been patient for a long time
We've been hanging out in dives forever
We never get it on the first try
We never get it on the first try
We never get it on the first try
The first try
So what?
Who cares?"
Tom Verlaine,Alvvays,Blue Rev,"{'year': 2022, 'month': 10, 'day': 7}","Looking back, I should have known
All the nights that I spent in outer space
If in fact I had said no
What becomes of this? It's hard to say

I'll feel better with the breeze on my back
And I'll sleep better knowing it's in the past

Looking back, I should have known
All the nights that I spent in outer space
Cigarettes and old regrets piled in a stack
Out in the back of my brain

When you walk away
Better be for good

I put my money on a horse
Who won't be steered on any course or lane
And if I ever see a dime
You'd take that money to divide and separate
When you walk away
It better be for good

I know you'll be there in the rain
Glowing like the first night, telling me you've changed
I know you'll be there in the rain
Glowing like the first night, trying to explain

That when you walk away
It's gonna be for good
You were my Tom Verlaine
Just sitting on the hood"
Tile By Tile,Alvvays,Blue Rev,"{'year': 2022, 'month': 10, 'day': 7}","At night I pace the floors
Tile by tile, step by step, 'til I reach a wall
No use in forging on, I try wholeheartedly
But still end up on your lawn

'Cause I'm still waiting on my invitation
I shouldn't have ever gone in the truck
The whole ride writing in your condensation
I shouldn't have ever been calling it love

At night I take the calls from telemarketers
In hopes of hearing your drawl
I let them blather on without a thought
I surrender my credit card

'Cause I'm still combing through missed connеctions
I shouldn't have ever followеd you up
I'm out here swimming in the wrong direction
I shouldn't have ever been calling it love
I'm still waiting)

Am I still giving off the wrong impression?
I shouldn't have ever dialled you up
And I'm still lifting all your old expressions
I shouldn't have ever been calling it love
I'm still waiting
I'm still waiting"
Very Online Guy,Alvvays,Blue Rev,"{'year': 2022, 'month': 9, 'day': 22}","He's a very online guy
He likes to hit reply
He's incredibly vigilant
Hair with the feathered wings
He likes to pull the strings
It's incredibly visible

We all know everything that he says and does
Leave your location on and just follow the buzz

He's only one filter away
He's only one follow, one filter away

He's a very online guy
He types his cool replies
He's incredibly animal
Front of the wеdding trains
He laps up all domains
And he loves a patio

Hе's only one flicker away
He's only one photo, one filter away
Like a thinning wave, what was it supposed to be?
The truth is I'm afraid of sudden change
But when you're close to me, does anyone notice?
Life disintegrates, what was it supposed to be?
The truth is I'm afraid to turn away
But when you're ghosting me, does anyone notice?

He's only one filter away
He's only one photo, one flicker away
He's only one photo, one follow, one filter away

He's a very online guy"
Velveteen,Alvvays,Blue Rev,"{'year': 2022, 'month': 10, 'day': 7}","Velveteen)
Velveteen)
Velveteen)

I see you getting fit
I can't make sense of it
At night, you roll up your jeans
And pull on your velveteen
Tonight you're on the stairs
What are you doing there?
Take off your lethargy
And down the bannister, you slide

Who is she?
Because I know that it can't be me
Who is she?
Because I know that it can't be

A closetful of lace
Acquired recently
Who am I to debase
In this economy?
Is she a perfect ten?
Have you found Christ again?
You tell me you don't have the time
To cop to it and vanish in the night
Who is she?
Because I know that it can't be me
Who is she?
Because I know that it can't be me

You fell away and I know how it all boils down
You hesitate, maintain charade
And I fall to the bottle, the bottom again

We used to tell each other everything
And now we're passing ships in night
We used to tell each other all the lies
And in a fairly civil way
Whatever gets you through the night

Who is she?
Because I know that it can't be me
Who is she?
Because I know that it can't be me
Who is she?
'Cause I know that it can't be me
I know that it can't be me
I, I know that it can't be me
Who is she?)
I know that it can't be me
Who is she?)
I know that it can't be"
Pomeranian Spinster,Alvvays,Blue Rev,"{'year': 2022, 'month': 10, 'day': 7}","Don't wanna be nice
I don't wanna be nice
I don't want your advice
On the run in my tights
I'm going to get what I want
I don't care who it hurts
Took the lessons that I've learned
Once shy, twice burned
Don't wanna belong
I'm not nodding along
I don't care if you write me
Please don't invite me
Hummingbird, get what you want
And flutter off for a little while
Wait, set it on the doorstep
You took the first steps

Mine, should've been mine
Had I just said something, if I wasn't polite
Stuck out my hand, grabbed it and ran
And you wouldn't've been accosted, all according to the plan

Don't wanna belong
I'm not nodding along
Don't care if I'm wrong, you unfortunate boy
You've gone AWOL
Hummingbird, get what you want
And flutter off to a different flower
Wait up and the light's out
You took that right out
Mine, should have been mine
Had I just said nothing, if I wasn't polite
Stuck out my hand, grabbed it and ran
And your looking took it forward and you're looking to the plan
Woke up in the rain, woke up in a sweat
Now you're living in a condo and you wanna forget, yeah

There was a time when someone could've said
You can't recreate all the things that are read

Pomeranian spinster
Glass slipper never fit
It took a while but I'm trying to get over it
Presbyterian ministers
Travel in packs and never split
They deviate in the tiniest concepts
I heard you ask me to smile
Detour right off of the road
Don't ever ask me to smile
Which dress is she going to wear?
What's to be done with her hair?
Don't ever ask me to smile
You'll spend the rest of your days
Taking your foot off the brake
Foot on the brake, foot on the-
Woo!"
Pressed,Alvvays,Blue Rev,"{'year': 2022, 'month': 10, 'day': 7}","Benevolent Collegiate rolled his eyes and walked away
And if you could believe it
His stride is lengthened by his sense of wonder
Oh well, I lost that shine - didn't I?

Not long ago, you held me
On the banks of rolling isles
Not long ago, you read to me
Pedantic poetry and I would smile

And if I could retrace it
I'd match the steps we took
To merely recreate it, lie to myself
Evеryone else don't forgеt""

Not long ago, you held me
On the banks of rolling isles
Not long ago, our middlebrow
Status quo rituals sufficed

In a whirlwind spin around
In a whirlwind spin around
I waver in the night, toss, turn eleven times
And I won't apologize for something I'm not sorry for
I won't apologize)
Mind racing over time, turns out all my friends were right All the time)
And I won't apologize for something I'm not sorry for
I won't apologize)
This cocktail is overpriced, I'll do my best to keep things light
I won't apologize)
But I won't apologize for something I'm not sorry for
I won't apologize)
Lay barren, eulogize holy water, lemon rind
I won't apologize)
And I won't apologize for something I'm not sorry for"
Many Mirrors,Alvvays,Blue Rev,"{'year': 2022, 'month': 10, 'day': 7}","Now that we've passed through many mirrors
I can't believe we're still the same
Now that we've passed through many mirrors
I can't believe we're still the same

Light years away and you've got
So much life to offer in you
Wild out of the place, you called me
Someone figured it out before you
Long time flame and you've got
So much life to offer in you
Wild out of the place, you called me

Now that we've passed through many mirrors
I can't believe we're still the same

Light years away and you've got
So much life to offer in you
Wild out of the place, you called me
Someone figured it out before you
Long time flame and you've got
So much life to offer in you
Wild out of the place, you called me
You called me)
Wild out of the place, you called me

Now that we've passed through many mirrors
I can't believe we're still the same
Now that we've passed through many mirrors
I can't believe we feel the same"
