,Artist,Album,Release Date,Lyrics
Still Together,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 16}","In time she'll see that her and me
Were meant to be, together
And time will pass, it may go fast
But we'll still be together
And where I go she's at my side, half of my life, together
It's easy love, fits like a glove from up above, together

Together
Together

I've had my share, it's just not fair
That we should be together
But if it's fine, that I've done my time
Let's walk the line together
And when she's low, I'll always know
We'll always go together
It's easy love, fits like a glove from up above, together

Together
Together
Together
Together

Mac: Kiki. Kiki? Hey. Time for bed. You're sleeping! Let's go. Ready?
Kiki: I have a bruise there
Mac: Yeah, you got a little indentation from the glasses that you fell asleep with on your face. I love you"
One Another,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","Hey kid, everybody's prone to some mistakes
If you'd always kept it straight, you'd never learn
You'd run the risk of all the risks you take
Don't feel like all the time you put in went to waste
The way your heart was beating all those days
And suddenly it beats another pace

It's not like you'd ever try to forget her
But these days are better without one another

Hey man, so now you've got it off your chest
Your heart can finally get some rest
Same heart that started this whole mess
And although, a broken heart needs time to mend
Yours wasn't ever really broken, was it?
You lose a love, you gain a friend

It's not like you'd ever try to forget her
But these days are better without one another

Without one another
Without one another
Without one another"
Nobody,Mac Demarco,Here Comes The Cowboy,"{'year': 2019, 'month': 3, 'day': 5}","I'm the preacher
A done decision
Another creature
Who's lost its vision

Let it go
Reel it in
For the creature
On television

There's no turning back
To nobody
There's no second chance
No third degree

I'm a fixture
A split decision
A pretty picture
A superstition

Let it go
Cash it in
For the creature
On television

There's no turning back
To nobody
There's no second chance
No third degree
There's no turning back
To nobody
There's no second chance
No third degree"
Brother,Mac Demarco,Salad Days,"{'year': 2014, 'month': 3, 'day': 6}","Shit

Youre no better off
Living your life
Than dreaming at night
This much is true
But its still up to you
To take my advice

To take it slowly, brother
Let it go now, brother
Take it slowly, brother
Let it go
Go home, go home
Go home, go home

Youre better off dead
When your minds been set
From nine until five
How could it be true
Well, its happened to you
So take my advice

And take it slowly, brother
Let it go now, brother
Take it slowly, brother
Let it go
Go home, go home
Go home, go home
Go home, go home
Go home, go home"
A Heart Like Hers,Mac Demarco,Another One,"{'year': 2015, 'month': 8, 'day': 7}","Done, done is all the love, love that I had saved for you
Gone, gone with my heart, locked inside a cage for you
And what's this that has become, has become of poor old me
Tried, so hard to believe in something that will never be

Never believe in a heart like hers again
Never believe in a heart like hers again
Never believe in a  heart like hers again
Never believe

All, all that I could give, all I had to offer her
Is gone, simply locked away, no longer there to bother her
Now look, look at what's become, what's become of poor old me
Tried, so hard to believe in something that will never be

Never believe in a heart like hers again
Never believe in a heart like hers again
Never believe in a  heart like hers again
Never believe
Never believe in a heart like hers again
Never believe in a heart like hers again
Never believe in a heart like hers again
Never believe"
Without Me,Mac Demarco,Another One,"{'year': 2015, 'month': 8, 'day': 7}","Will she love me again tomorrow
I don't know, don't think so
And that's fine, fine by me
As long as, long as I know she's happy, happy

Without me
Without me
Without me
Without me

Will she find love again tomorrow
I don't know, I hope so
And that's fine, fine by me
As long as, long as I know she's happy, happy

Without me
Without me
Without me
Without me"
Baby You’re Out,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","Of all the things you wished you'd never done
I've heard you say that this is number one
Another life down another road
Perhaps you're better off to never know

Don't dream of all the ways things could have been
Remember all the faces you let in
Remember all the faces still unseen
And soon enough, you'll see just what I mean

There's nothing to cry about
'Cause baby, baby, you're out

You've always felt it's hard to voice complaints
But what you voice is what will drive your fate
And though things never really got that bad
Dreams of greener grass'll drive you mad

Don't dream of all the ways things could've been
Remember all the faces you let in
Remember all the faces still unseen
And soon enough, you'll see just what I mean

There's nothing to cry about
'Cause baby, baby, you're out

Baby, you're out
Baby, you're out
Baby, you're out"
Only You,Mac Demarco,Rock and Roll Night Club,"{'year': 2012, 'month': 3, 'day': 13}","Only you, only you
Only you can treat me like you do
And only she, only she
Only she chose me when I'm blue
So sorry, boo, we're through
'Cause I'm done crying over her
I'm done crying over her
My hands hurt, I think I'll go lay down
'Cause I'm done crying over her

Here I am, brand new day
Now there's you, let me show you, boo
That only she, only she
Only she chose me when I'm green
So sorry, boo, we're through

'Cause I'm done crying over her
I'm done crying over her
I'm done crying over her
My hands hurt, I think I'll go lay down

Lay down
Lay down
Lay down
Lay down
Lay down
Lay down
Lay down"
Honey Moon,Mac Demarco,Light in the Attic & Friends,"{'year': 2018, 'month': 8, 'day': 24}","夢は夜降る 天使の髪の毛
ゆれる
絹ずれの背中で 空にハニー・ムーン
胸はふるえる 天馬のたてがみ
ゆれる
あやしい恋唄 唄ってみせようか
抜き足 差し足 近づく十五夜
月に帰るのは まだ早すぎる"
Goodbye Weekend,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","Goodbye,  weekend
So long, darling
Macky's been a bad, bad boy
And when they're preaching
Be sure to change me
Should rearrange me
Or so they thought

So don't go telling me how this boy should be leading
His own life
Sometimes rough but generally speaking I'm fine
If you don't agree with the things that go on within my life
Well, honey, that's fine just know that you're wasting your time

Sort me, place me
Give me a sign
Repeat the mantra
When you're stepping out of line
Give me, a number
Something to be
May help out the country boy
But it won't work out on me


So don't go telling me how this boy should be leading
His own life
Sometimes rough but generally speaking I'm fine
If you don't agree with the things that go on within my life
Well, honey, that's fine just know that you're wasting your time

Ah, Gigi Bungsu"
The Way You’d Love Her,Mac Demarco,Another One,"{'year': 2015, 'month': 5, 'day': 11}","How's your heart been beating?
How's your skin been keeping?
How's the dream been going since you've came back home this time?
You left her out there somewhere
Told her how you feel but
Never really got the chance to show her what it really means to love her

The way you'd love her
The way you'd love to love her
The way you'd love her

Closer to the ending
She's still out pretending
Prying eyes won't recognize the way she feels about him
She'll just go on living
The river keeps on rolling
Knowing all the time she'll never understand just what it means to love her

The way you'd love her
The way you'd love to love her
The way you'd love her

Love her
The way you'd love her
The way you'd love to love her
The way you'd love her"
Dreams from Yesterday,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","Once your dreams
Come knocking at your door
It's time to realize
You aren't dreaming anymore
And once your life is set to settle down
Take a look around you
No more dreaming to be found

So why, then, are you crying?
It was you who denied them
And no amount of tears
Could roll back all the years
Bring back all your dreams from yesterday

Once a life believes it's got it set up
A closer look reveals
Just how empty you can feel
Once a dream
Is finally put to bed
Rest up, sleepyhead
You might as well be dead

So why, then, are you crying?
It was you who denied them
And no amount of tears
Could roll back all the years
Bring back all your dreams from yesterday"
Dreaming,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 12}","Someday I'll find her
And I'm still reminded
Maybe she's best in dreams
She's still the best I've seen

Dreamin'
Dreamin'
Dreamin'
Baby, I'm dreamin'

Out on her windowsill
Baby remember
Maybe I'm out of luck
Maybe it's running still

Dreamin'
Dreamin'
Dreamin'
Baby, I'm dreamin'"
The Stars Keep on Calling My Name,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 16}","Honey, the stars keep on calling my name
But don't worry, I've told you again and again
When I'm down, you're always the first one to know
Skipping town, I'll take you wherever I go

And I just wanna go
I just wanna go

Honey, this towns really taking its toll
But dont worry, Im all through with feeling this old
When Im down, youre always the first on my mind
Skipping town, lets get out and see what we find

And I just wanna go
I just wanna go

Honey, the stars keep on calling my name
But don't worry, I've told you again and again
When I'm down, you're always the first one to know
Skipping town, I'll take you wherever I go

And I just wanna go
I just wanna go
I just wanna go
I just wanna go

"
A Wolf Who Wears Sheeps Clothes,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","Just trying to keep it light sometimes casts a shadow
Trouble is keeping quiet and you know well where your heart goes
Troubles with meeting anybody, these days are bringing you down
All predisposed to believe in, in a wolf who wears sheep's clothes
Yeah

Don't let the world outside the windowpane get to your head
And hopefully make some sense of all this shit before you're dead
The troubles with meeting anybody, follow wherever you go
All predisposed to believe in, in a wolf who wears sheep's clothes
Yeah"
K,Mac Demarco,Here Comes The Cowboy,"{'year': 2019, 'month': 5, 'day': 10}","As the years blow by, baby
The more I come to know myself
The more it seems my love grows for you
And surely I'd be dead, baby
Had I gone with someone else
For this and more, my love's owed to you

K, anytime it feels as though my love has gone away
K, settle down, turn around, and take this song, and let it play

Got to know your heart, baby
Still so much for me to learn
And as I do, my love stays with you
And surely I'd be dumb, baby
Had I made another turn
Glad the turn that I made was you

K, anytime it feels as though my love has gone away
K, settle down, turn around, and take this song, and let it play
K, anytime it feels as though my love has gone away
K, settle down, turn around, and take this song, and let it play"
Sister,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","Turns out not every dog has his day
So sad, so suddenly gone away
Wish there were more that I could do
Any time you're hearing this
Sister, know my heart goes out to you"
My House by the Water,Mac Demarco,Another One,"{'year': 2015, 'month': 8, 'day': 7}"," Bayfield Ave, Arverne, New York
Stop on by, I'll make you a cup of coffee. See you later"
Robson Girl,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 16}","Maybe when we're older
We can try this over
Lovin' on the sidelines
Another one of my kind

Robson Girl
Sit down by your daddy
Robson Girl
Sit down by your daddy

No one else's shoulder
I felt, could be colder
Lovin' on the sidelines
Just one street on my mind
AH!)

Robson Girl
Sit down by your daddy
Robson Girl
Sit down by your daddy
Robson Girl
Sit down by your daddy
Robson Girl
Sit down by your daddy

That's a wrap"
