,Artist,Album,Release Date,Lyrics
We All Stand,New Order,"Power, Corruption & Lies (US Cassette Version)","{'year': 1983, 'month': 5, 'day': 2}","Three miles to go
At the end of the road
There's a soldier waiting for me
I've got three miles to go
Three miles to go
At the end of the road
There's a soldier waiting for me
At the end of the road
At the end of the road
At the end of the road
Life goes on and on in this real life fantasy
Forever to be still, breath held tight inside of me
Life goes on and on in this real life fantasy
Forever to be still, breath held tight inside of me
Life goes on and on
It's a red sky tonight
It's a red sky tonight
At the end of the road
Where all futures go
At the end of the road
See New Order LiveThere's a soldier waiting for me
He's got three miles to go
Three miles to go
At the end of the road
At the end of the road
There's blood on shore
Life goes on and on in this real life fantasy
Forever to be still, breath held tight inside of me
Life goes on and on in this real life fantasy
Forever to be still, breath held tight inside of me"
Fine Time,New Order,Technique,"{'year': 1988, 'month': 11, 'day': 28}","You're much too young
To be a part of me

Too young
To get a hold on me

You're much too young
You're much too young
You're much too young
To mess around with me

Hey, you know I've met a lot of cool chicks
But I've never met a girl with all her own teeth
That's why I love you, babe
And that's why we could be
But you're too young
Too young for me

Past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
The past doesn't matter
See New Order Live
Hey, hey, sophisticated lady
You know I've met a lot of cool chicks
But you've got style
And you've got class
But most of all
You got love technique"
Procession,New Order,Substance,"{'year': 1981, 'month': 9, 'day': 25}","There is no end to this
I have seen your face
But I don't recognize all these things
You must have left behind
It's a problem, you know
That's been there all your life
I've tried to make you see the world without you
That just turned black and white
At night it gets cold
And you'd dearly like to turn away
Escape that fails
And makes the wounds that time won't heal

Alone, alone, alone, alone

There is no end to this
I can't turn away another picture
But the scene
Is still the same
There is no room to move
Or try to look away
Remember, life is strange
And life keeps getting stranger every day
A mass of harmless attitudes
An attack that won't subside
No matter what they say, you knew
Your heart beats you late at night
See New Order Live
Your heart beats you late at night
Your heart beats you late at night
Your heart beats you late at night"
Ultraviolence,New Order,"Power, Corruption & Lies (US Cassette Version)","{'year': 1983, 'month': 5, 'day': 2}","Who saw those dark eyes?
These years gone by
Deep within
Burn my skin
All those years gone by
In the heat of the night
All those years gone by
Who felt those cold hands?
Who felt those cold hands?
Touch my skin
Deep within
Burn my soul
Fell to the ground where I was found
All those years ago
All those years ago
All those years ago
Everybody makes mistakes
Everybody makes mistakes
Even me
Just be free
This is a place where in the end
It happens in our world within
See New Order LiveTime to go
Time to go"
Vanishing Point,New Order,Technique,"{'year': 1989, 'month': 1, 'day': 30}","Grow up children, don't you suffer
At the hands of one another
If you like a sleeping demon
Listen, can you hear him weepin'?
Tears of joy and tears of sorrow
He buys love to sell tomorrow

My life ain't no holiday
I've been through the point of no return
I've seen what a man can do
I've seen all the hate of a woman too

Feel your heartbeat, lose the rhythm
He can't touch the world we live in
Life is short, but love is strong Love is strong)
There lies a hope that I have found
And if you try, you'll find it too
Remember why I'm telling you


My life ain't no holiday
I've been through the point of no return
I've seen what a man can do
I've seen all the hate of a woman too
See New Order Live

And they gave him away
Like in Whistle Down the Wind
By the look on his face
He never gave in"
Ecstasy,New Order,"Power, Corruption & Lies (US Cassette Version)","{'year': 1983, 'month': 5, 'day': 2}","You were so lonely
Was the worst
Was the worst
Was the worst

You were so simple
You were so cold
Ecstasy, touch me please

Lost
You were, you were lost
You were so cold
You were lost

In your soul
In your soul
In your eye, tainted coal
Patient

You were so cold, were so lost
You were so cold, you were so lost
See New Order Live
You were so close to me
So long
So lost now
So lost
So long
So lost, so lost"
Round and Round,New Order,Technique,"{'year': 1989, 'month': 2, 'day': 27}","I just can't help thinking what you've
Done to me Done to me, done to me, done to me)
You built a wall of love and tore it right down
In front of me
And you think you know what's going on
You keep telling me that I am wrong
I don't care about what you do
'Cause if you mess with me, I'll get rid of you

The picture you see
Is no portrait of me
It's too real to be shown
To someone I don't know
And it's driving me wild
It makes me act like a child

You think I am crazy, but what can
I do? I do, I do, I do)
You waste your time, like my money, it ain't so funny
But it's true Don't waste my money, baby)
Now, you can't tell me what's going on
And that I am weak while you are strong
What is it you need that makes your heart bleed?
Do you really know? 'Cause it doesn't show
See New Order Live
The picture you see
Is no portrait of me
It's too real to be shown
To someone I don't know
And it's driving me wild
It makes me act like a child


The picture you see
Is no portrait of me
It's too real to be shown
To someone I don't know
And it's driving me wild
It makes me act like a child"
Confusion,New Order,Retro,"{'year': 1983, 'month': 8, 'day': 22}","Confusion) When I show you what you mean to me
Confusion) You just can't believe me
Confusion) When I show you what you cannot see
You're hiding from feelings, searching for more
Sharing and hoping, untouched for so long
Our lives still change from the way that we were
And now, I'll tell you something I think you should know
You just can't believe me
When I show you what you mean to me
You just can't believe me
When I show you what you cannot see
Confusion) You just can't believe me
Confusion) When I show you what you mean to me
Confusion) You just can't believe me
Confusion) When I show you what you cannot see
You just can't believe me
When I show you what you mean to me
Confusion
Confusion
Confusion
See New Order LiveYou caused me confusion, you told me you cared
He's calling these changes that last to the end
Ask me no questions, I'll tell you no lies
The past is your present, the future is mine
You just can't believe me
When I show you what you mean to me
You just can't believe me
When I show you what you cannot see
Confusion) You just can't believe me
Confusion) When I show you what you mean to me
Confusion) You just can't believe me
Confusion) When I show you what you cannot see
You tell me you need me, I'll make it this time
The thread won't divide us, the sensation survives
I was sure that I told you, it was good from the face
You've caused me some problems, you've taken my place
Why can't you see what you mean to me?
Why can't you see? why can't you see?
Why can't you see what you mean to me?
Why can't you see? why can't you see?
Why can't you see what you mean to me?
Why can't, why can't, why can't, why can't
Why can't, why can't, why can't, why can't
Why can't you see what you mean to me?"
Everything’s Gone Green,New Order,Substance,"{'year': 1981, 'month': 9, 'day': 25}","Help me, somebody, help me
I wonder where I am
I see my future before me
I'll hurt you when I can

It seems like I've been here before
It seems like I've been here before
It seems like I've been here before
It seems like I've been here before

Confusion sprung up from devotion
A halo that covers my eyes
It stands from this first estrangement
No one have I ever despised

Is this the way that you wanted to pay?
Won't you show me, please, show me the way
Is this the way that you wanted to pay?
Won't you show me, please, show me the way
Show me, show me, show me, show me, show meSee New Order LiveGet tickets as low as $"
Plastic,New Order,Music Complete,"{'year': 2015, 'month': 9, 'day': 16}","Got a feeling in my head
Feels like thunder overhead
Intoxicated, can't stop the flow
This love is poison, but it's like gold

Give me direction, out of the cold
Show me affection, I'll give ya my soul

It's official, you're fantastic
You're so special so special)
So iconic so iconic)
You're the focus the focus) of attention attention)
But you don't want it you don't want it)
'Cause you're so honest


If you break me, will you fix me?
And if I'm missing, will you miss me?
I'll regret it 'til the day I die
Until you knew it was in my head
See New Order Live
Feels like thunder, it's getting cold
This love is poison, but it's like gold

It's official, you're fantastic
You're so special so special)
So iconic so iconic)
You're the focus the focus) of attention attention)
But you don't want it you don't want it)
'Cause you're so honest you don't want it)

You don't want it


It's official, you're fantastic
You're so special so special)
So iconic so iconic)
You're the focus the focus) of attention attention)
But you don't want it you don't want it)
'Cause you're so honest you don't want it)

One of these days, one of these days
Right when you want me, baby, I'll be gone
Cause you're like plastic, you're artificial
You don't mean nothing, baby, so superficial"
All The Way,New Order,Technique,"{'year': 1989, 'month': 1, 'day': 30}","It doesn't take a genius to tell me what I am
Or lecture me with poetry and tell me that I can
I don't remember what happened yesterday
But I don't give a damn about what all those people say

It takes years to find the nerve to be apart from what you've done
To find the truth inside yourself and not depend on anyone
It takes years to find the nerve to be apart from what you've done
To find the truth inside yourself and not depend on anyone

It don't take no Houdini to tell me what I am
Parasites and literasites, they'd burn me if they can
But I don't give a damn about what those people say
They pick you up and kick you out, they hurt you every day

It takes years to find the nerve to be apart from what you've done
To find the truth inside yourself and not depend on anyone


It takes years to find the nerve to be apart from what you've done
To find the truth inside yourself and not depend on anyone
It takes years to find the nerve to be apart from what you've done
To find the truth inside yourself and not depend on anyoneSee New Order LiveGet tickets as low as $"
In a Lonely Place,New Order,Substance,"{'year': 1981, 'month': 3, 'day': 6}","Caressing the marble and stone
Love that was special for one
Waste in the fever and heat
How I wish you were here with me now

Body that curls in and hides
Hardships that often belie
Warm like a dog round your feet
How I wish you were here with me now

Hangman looks round as he waits
Cord stretches tight then it breaks
Someday we will die in your dreams
How I wish you were here with you nowSee New Order LiveGet tickets as low as $"
